symbol,interval,train_roi,val_roi,val_halted,n_valid_combos,n_train_candles,n_val_candles,sweep,steps,order_size_pct,counter_multiplier,ma_period,atr_period,atr_multiplier
DOT,15m,20.6855,2.8288,False,16720,4537,1135,0.1,20,0.2,16,,,2.0
ETC,15m,43.6965,7.7227,False,16720,4537,1135,0.15,20,0.5,12,,,2.0
TRUMP,15m,0.0,0.0,False,16800,709,178,0.2,4,0.05,2,,,2.0
ETH,15m,20.0607,1.0873,False,16720,4537,1135,0.2,20,0.5,12,,,2.0
W,5m,13.5596,-3.4474,False,16800,13598,3400,0.1,8,0.5,6,,,2.0
HBAR,15m,14.6492,6.1259,False,16800,4537,1135,0.05,12,0.5,16,,,2.0
LDO,15m,8.9942,0.161,False,16664,4537,1135,0.25,48,0.05,12,,,2.0
LINK,15m,33.6255,3.8176,False,16720,4537,1135,0.05,20,0.5,16,,,2.0
TON,15m,0.6396,0.0,False,11408,4537,1135,0.25,4,0.25,2,,,2.0
ONDO,15m,36.3736,11.9698,False,16720,4537,1135,0.05,8,0.5,10,,,2.0
LTC,15m,31.4159,5.2529,False,16720,4537,1135,0.05,20,0.5,16,,,2.0
SHIB,15m,17.1348,0.1589,False,16800,4537,1135,0.1,32,0.25,2,,,2.0
USDC,5m,0.0,0.0,False,16800,13597,3400,0.05,4,0.05,2,,,2.0
XLM,5m,25.2345,-5.1754,False,16800,13597,3400,0.15,32,0.5,12,,,2.0
WIF,5m,19.3232,1.3973,False,16720,13597,3400,0.05,4,0.5,12,,,2.0
AVAX,1h,6.0552,-5.0369,False,596,13874,3469,0.15,4,0.05,16,,,2.0
AERO,1h,11.8167,-5.1375,False,2996,13874,3469,0.1,12,0.1,10,50,,2.0
PNUT,15m,28.8925,0.0,False,16720,4537,1135,0.2,4,0.5,4,,,2.0
AAVE,1h,19.3423,-12.0899,False,2064,13874,3469,0.25,4,0.1,10,,,2.0
ADA,1h,18.1563,-17.3942,False,1720,13874,3469,0.25,4,0.1,12,,,2.0
BCH,1h,-1.2858,1.1405,False,580,13874,3469,0.25,4,0.05,2,,,2.0
BONK,1h,23.5411,-13.0138,False,1760,13874,3469,0.2,4,0.1,4,,,2.0
CRV,1h,15.3711,-8.1016,False,548,13874,3469,0.25,4,0.05,8,,,2.0
XRP,5m,19.8887,6.0336,False,16720,13597,3400,0.05,12,0.5,8,,,2.0
EIGEN,1h,28.1117,-14.959,False,900,10471,2618,0.2,4,0.1,16,,,2.0
PYTH,15m,3.6425,0.0,False,16720,4537,1135,0.1,4,0.25,10,,,2.0
DOT,1h,4.5726,-17.366,False,848,13874,3469,0.25,4,0.1,12,,,2.0
PAXG,15m,2.8443,0.0,False,16800,4537,1135,0.25,8,0.2,6,,,2.0
SEI,15m,-2.0566,1.0008,False,7688,4537,1135,0.2,4,0.05,2,,,2.0
DOGE,1h,29.2749,-13.8389,False,1300,13874,3469,0.15,4,0.1,6,,,2.0
FLOKI,1h,25.3539,-17.9903,False,2320,13873,3469,0.25,4,0.1,8,,,2.0
XTZ,5m,23.8364,1.9123,False,16800,13597,3400,0.15,8,0.5,6,,,2.0
RENDER,15m,27.9336,3.5769,False,16720,4537,1135,0.05,32,0.5,10,,,2.0
LDO,1h,1.799,-10.0359,False,612,13874,3469,0.25,4,0.05,4,,,2.0
WIF,15m,9.5453,0.0,False,10488,4537,1135,0.1,4,0.25,12,,,2.0
SNX,15m,13.6403,2.5799,False,16720,4537,1135,0.1,12,0.5,10,,,2.0
ETC,1h,23.7051,-13.4613,False,1976,13874,3469,0.15,4,0.1,16,,,2.0
OP,1h,-10.421,-8.92,False,564,13874,3469,0.25,4,0.05,2,,,2.0
W,15m,7.9909,-6.3558,False,16708,4537,1135,0.1,20,0.2,2,50,,2.0
PNUT,1h,18.4331,-11.8031,False,1904,9815,2454,0.25,4,0.1,12,,,2.0
PYTH,1h,-16.1007,-9.6718,False,560,13874,3469,0.25,4,0.05,2,,,2.0
SOL,15m,33.6257,12.7947,False,16720,4537,1135,0.15,20,0.5,12,,,2.0
LTC,1h,28.5172,-13.0362,False,1680,13874,3469,0.1,8,0.05,10,,,2.0
SHIB,1h,0.3552,-3.5555,False,1200,13873,3469,0.15,4,0.05,16,,,2.0
SEI,1h,-7.4997,-11.5,False,580,13874,3469,0.2,4,0.05,2,100,,2.0
HBAR,1h,93.5283,-25.9039,True,2632,13874,3469,0.25,4,0.25,8,,,2.0
SKR,1h,-19.6394,-10.7146,False,564,12832,3209,0.05,8,0.05,2,50,,2.0
AVNT,1h,41.5161,1.9739,False,10348,3880,970,0.2,12,0.1,12,50,,2.0
SNX,1h,-3.3767,-13.9755,False,644,13874,3469,0.05,32,0.05,2,20,,2.0
LINK,1h,89.9287,-20.5013,True,2676,13874,3469,0.25,20,0.05,16,,,2.0
W,1h,-17.6714,-13.4789,False,560,13871,3468,0.05,4,0.05,2,,,2.0
USDC,15m,0.0,0.0,False,16800,4537,1135,0.05,4,0.05,2,,,2.0
XPL,1h,27.4495,1.6749,False,1472,4336,1084,0.25,4,0.1,8,,,2.0
ARB,1h,40.8553,-6.1394,False,1764,13874,3469,0.15,4,0.1,16,,,2.0
XLM,15m,34.2633,-1.4785,False,16720,4537,1135,0.2,20,0.2,8,,,2.0
TRUMP,1h,52.3328,-17.8627,False,1648,12974,3244,0.25,4,0.1,8,,,2.0
WIF,1h,17.9685,-37.5472,True,2064,13874,3469,0.05,32,0.05,12,20,,2.0
XRP,15m,29.5603,4.1548,False,16720,4537,1135,0.1,12,0.25,10,,,2.0
RENDER,1h,6.6039,5.8202,False,1572,9229,2308,0.05,12,0.1,12,100,,2.0
SYRUP,1h,56.611,-20.701,True,2236,9626,2407,0.25,4,0.25,4,,,2.0
XTZ,1h,46.3136,-0.7429,False,1220,13874,3469,0.25,4,0.1,10,,,2.0
SOL,1h,85.9813,-39.3688,True,3080,13874,3469,0.25,4,0.25,8,,,2.0
VIRTUAL,1h,110.3513,-6.888,False,1044,13871,3468,0.2,4,0.1,16,,,2.0
ENA,1h,51.1282,-50.5291,True,3848,13874,3469,0.25,12,0.5,2,100,,2.0
XLM,1h,22.8754,-12.2233,False,2180,13874,3469,0.25,4,0.1,10,,,2.0
SKY,1h,133.8029,0.143,False,968,13874,3469,0.2,4,0.2,2,,,2.0
XRP,1h,104.2573,-41.4539,True,3240,13874,3469,0.15,32,0.5,6,,,2.0
XTZ,15m,5.0742,2.2798,False,16800,4537,1135,0.15,8,0.2,2,,,2.0
TON,1h,102528671811.199,-39.0883,True,5548,13836,3460,0.25,12,0.5,8,,,2.0
ETH,1h,120.4186,-28.6623,True,6856,13874,3469,0.25,4,0.5,8,,,2.0
XCN,1h,51.484,0.0,False,13164,13874,3469,0.05,4,0.5,8,,,2.0
ONDO,1h,263.613,-50.3193,True,16444,13874,3469,0.15,12,0.2,12,100,,2.0
BNB,1h,108.4959,-34.0316,True,16668,13874,3469,0.1,20,0.5,10,,,2.0
BTC,1h,46.3993,-17.5592,True,15128,13874,3469,0.25,4,0.25,12,,,2.0
USDC,1h,0.0,0.0,False,16800,13874,3469,0.05,4,0.05,2,,,2.0
PAXG,1h,19.5124,0.0607,False,16800,13874,3469,0.05,48,0.25,2,,,2.0
