return_pct,final_value,cash,halted,trades,reset,order_pct,ETH_sweep,ETH_steps,BNB_sweep,BNB_steps,SOL_sweep,SOL_steps
67.62980698038416,50288.94209411525,17999.461944146176,False,119,24.0,0.15,0.1,4,0.2,8,0.2,4
67.04068780412136,50112.20634123641,26213.583097727842,False,202,48.0,0.1,0.2,8,0.06,4,0.2,4
67.04068780412136,50112.20634123641,26213.583097727842,False,202,,0.1,0.2,8,0.06,4,0.2,4
67.04068780412136,50112.20634123641,26213.583097727842,False,202,24.0,0.1,0.2,8,0.06,4,0.2,4
67.04068780412136,50112.20634123641,26213.583097727842,False,202,168.0,0.1,0.2,8,0.06,4,0.2,4
66.9930852604506,50097.92557813518,4247.153640026654,False,175,48.0,0.15,0.2,4,0.1,12,0.2,4
66.9930852604506,50097.92557813518,4247.153640026654,False,175,168.0,0.15,0.2,4,0.1,12,0.2,4
66.9930852604506,50097.92557813518,4247.153640026654,False,175,,0.15,0.2,4,0.1,12,0.2,4
66.9930852604506,50097.92557813518,4247.153640026654,False,175,24.0,0.15,0.2,4,0.1,12,0.2,4
66.96911859518096,50090.73557855429,24683.991273562457,False,381,,0.1,0.2,8,0.06,12,0.2,4
66.96911859518096,50090.73557855429,24683.991273562457,False,381,48.0,0.1,0.2,8,0.06,12,0.2,4
66.96911859518096,50090.73557855429,24683.991273562457,False,381,168.0,0.1,0.2,8,0.06,12,0.2,4
66.96911859518096,50090.73557855429,24683.991273562457,False,381,24.0,0.1,0.2,8,0.06,12,0.2,4
66.64399126148516,49993.19737844555,13507.949149059601,False,433,168.0,0.1,0.2,4,0.06,12,0.2,4
66.64399126148516,49993.19737844555,13507.949149059601,False,433,,0.1,0.2,4,0.06,12,0.2,4
66.64399126148516,49993.19737844555,13507.949149059601,False,433,48.0,0.1,0.2,4,0.06,12,0.2,4
66.64399126148516,49993.19737844555,13507.949149059601,False,433,24.0,0.1,0.2,4,0.06,12,0.2,4
66.45315018733483,49935.94505620045,12753.51743789094,False,316,24.0,0.1,0.2,4,0.06,8,0.2,4
66.45315018733483,49935.94505620045,12753.51743789094,False,316,48.0,0.1,0.2,4,0.06,8,0.2,4
66.45315018733483,49935.94505620045,12753.51743789094,False,316,168.0,0.1,0.2,4,0.06,8,0.2,4
66.45315018733483,49935.94505620045,12753.51743789094,False,316,,0.1,0.2,4,0.06,8,0.2,4
66.31280404839568,49893.8412145187,25622.93230530087,False,154,24.0,0.15,0.1,8,0.2,12,0.2,4
66.31280404839568,49893.8412145187,25622.93230530087,False,154,48.0,0.15,0.1,8,0.2,12,0.2,4
66.31280404839568,49893.8412145187,25622.93230530087,False,154,,0.15,0.1,8,0.2,12,0.2,4
66.31280404839568,49893.8412145187,25622.93230530087,False,154,168.0,0.15,0.1,8,0.2,12,0.2,4
66.27910454961939,49883.73136488582,19805.388467893466,False,181,168.0,0.15,0.15,8,0.1,12,0.2,4
66.27910454961939,49883.73136488582,19805.388467893466,False,181,,0.15,0.15,8,0.1,12,0.2,4
66.27910454961939,49883.73136488582,19805.388467893466,False,181,48.0,0.15,0.15,8,0.1,12,0.2,4
66.27910454961939,49883.73136488582,19805.388467893466,False,181,24.0,0.15,0.15,8,0.1,12,0.2,4
66.27306652145202,49881.91995643561,30589.035796083932,False,289,168.0,0.1,0.1,4,0.1,12,0.2,4
66.27306652145202,49881.91995643561,30589.035796083932,False,289,24.0,0.1,0.1,4,0.1,12,0.2,4
66.27306652145202,49881.91995643561,30589.035796083932,False,289,48.0,0.1,0.1,4,0.1,12,0.2,4
66.27306652145202,49881.91995643561,30589.035796083932,False,289,,0.1,0.1,4,0.1,12,0.2,4
66.18059937887777,49854.17981366333,28933.495426220634,False,388,48.0,0.1,0.15,8,0.06,12,0.2,4
66.18059937887777,49854.17981366333,28933.495426220634,False,388,,0.1,0.15,8,0.06,12,0.2,4
66.18059937887777,49854.17981366333,28933.495426220634,False,388,24.0,0.1,0.15,8,0.06,12,0.2,4
66.18059937887777,49854.17981366333,28933.495426220634,False,388,168.0,0.1,0.15,8,0.06,12,0.2,4
66.1766588352055,49852.99765056165,32486.410171909498,False,421,,0.1,0.1,8,0.06,12,0.2,4
66.1766588352055,49852.99765056165,32486.410171909498,False,421,168.0,0.1,0.1,8,0.06,12,0.2,4
66.1766588352055,49852.99765056165,32486.410171909498,False,421,24.0,0.1,0.1,8,0.06,12,0.2,4
66.1766588352055,49852.99765056165,32486.410171909498,False,421,48.0,0.1,0.1,8,0.06,12,0.2,4
66.16673358342402,49850.020075027205,30814.502401626214,False,153,,0.1,0.2,8,0.15,4,0.2,4
66.16673358342402,49850.020075027205,30814.502401626214,False,153,168.0,0.1,0.2,8,0.15,4,0.2,4
66.16673358342402,49850.020075027205,30814.502401626214,False,153,24.0,0.1,0.2,8,0.15,4,0.2,4
66.16673358342402,49850.020075027205,30814.502401626214,False,153,48.0,0.1,0.2,8,0.15,4,0.2,4
66.14162241015038,49842.48672304511,30816.805962192564,False,291,48.0,0.1,0.15,8,0.1,12,0.2,4
66.14162241015038,49842.48672304511,30816.805962192564,False,291,,0.1,0.15,8,0.1,12,0.2,4
