return_pct,final_value,cash,halted,trades,reset,order_pct,counter_m,ETH_sweep,BNB_sweep,SOL_sweep
12.588626750891368,33776.58802526741,11702.324228135045,False,421,48.0,0.05,2.0,0.1,0.04,0.1
12.588626750891368,33776.58802526741,11702.324228135045,False,421,,0.05,2.0,0.1,0.04,0.1
12.588626750891368,33776.58802526741,11702.324228135045,False,421,96.0,0.05,2.0,0.1,0.04,0.1
12.52411201369095,33757.233604107285,11788.609242568513,False,255,48.0,0.05,3.0,0.06,0.06,0.2
12.52411201369095,33757.233604107285,11788.609242568513,False,255,96.0,0.05,3.0,0.06,0.06,0.2
12.52411201369095,33757.233604107285,11788.609242568513,False,255,,0.05,3.0,0.06,0.06,0.2
12.503407926923465,33751.02237807704,10043.961093719234,False,246,96.0,0.05,4.0,0.15,0.04,0.1
12.503407926923465,33751.02237807704,10043.961093719234,False,246,48.0,0.05,4.0,0.15,0.04,0.1
12.503407926923465,33751.02237807704,10043.961093719234,False,246,,0.05,4.0,0.15,0.04,0.1
12.327212932973513,33698.163879892054,572.7413542258146,False,116,96.0,0.1,4.0,0.06,0.06,0.1
12.327212932973513,33698.163879892054,572.7413542258146,False,116,48.0,0.1,4.0,0.06,0.06,0.1
12.327212932973513,33698.163879892054,572.7413542258146,False,116,,0.1,4.0,0.06,0.06,0.1
12.250787023616649,33675.236107084995,2889.845694186944,False,97,96.0,0.1,4.0,0.15,0.08,0.3
12.250787023616649,33675.236107084995,2889.845694186944,False,97,,0.1,4.0,0.15,0.08,0.3
12.250787023616649,33675.236107084995,2889.845694186944,False,97,48.0,0.1,4.0,0.15,0.08,0.3
12.235641241978058,33670.69237259342,123.97260220555336,False,128,48.0,0.1,4.0,0.1,0.06,0.1
12.235641241978058,33670.69237259342,123.97260220555336,False,128,,0.1,4.0,0.1,0.06,0.1
12.235641241978058,33670.69237259342,123.97260220555336,False,128,96.0,0.1,4.0,0.1,0.06,0.1
12.23200512153373,33669.60153646012,18462.188527689665,False,161,96.0,0.05,4.0,0.06,0.08,0.3
12.23200512153373,33669.60153646012,18462.188527689665,False,161,48.0,0.05,4.0,0.06,0.08,0.3
12.23200512153373,33669.60153646012,18462.188527689665,False,161,,0.05,4.0,0.06,0.08,0.3
11.956584565575104,33586.97536967253,13560.84630848973,False,208,96.0,0.05,4.0,0.06,0.06,0.3
11.956584565575104,33586.97536967253,13560.84630848973,False,208,,0.05,4.0,0.06,0.06,0.3
11.956584565575104,33586.97536967253,13560.84630848973,False,208,48.0,0.05,4.0,0.06,0.06,0.3
11.867743844718087,33560.323153415426,11642.863953901331,False,237,48.0,0.05,3.0,0.1,0.06,0.2
11.867743844718087,33560.323153415426,11642.863953901331,False,237,96.0,0.05,3.0,0.1,0.06,0.2
11.867743844718087,33560.323153415426,11642.863953901331,False,237,,0.05,3.0,0.1,0.06,0.2
11.815200370184854,33544.560111055456,3419.1713220249503,False,60,96.0,0.15,4.0,0.06,0.08,0.1
11.815200370184854,33544.560111055456,3419.1713220249503,False,60,,0.15,4.0,0.06,0.08,0.1
11.815200370184854,33544.560111055456,3419.1713220249503,False,60,48.0,0.15,4.0,0.06,0.08,0.1
11.768840303227721,33530.65209096832,18475.86963483436,False,147,,0.05,4.0,0.1,0.08,0.2
11.768840303227721,33530.65209096832,18475.86963483436,False,147,96.0,0.05,4.0,0.1,0.08,0.2
11.768840303227721,33530.65209096832,18475.86963483436,False,147,48.0,0.05,4.0,0.1,0.08,0.2
11.750774802181986,33525.232440654596,16211.949035496351,False,270,96.0,0.05,2.0,0.06,0.08,0.2
11.750774802181986,33525.232440654596,16211.949035496351,False,270,,0.05,2.0,0.06,0.08,0.2
11.750774802181986,33525.232440654596,16211.949035496351,False,270,48.0,0.05,2.0,0.06,0.08,0.2
11.749316286409691,33524.79488592291,16573.517703558722,False,248,,0.05,2.0,0.1,0.08,0.2
11.749316286409691,33524.79488592291,16573.517703558722,False,248,48.0,0.05,2.0,0.1,0.08,0.2
11.749316286409691,33524.79488592291,16573.517703558722,False,248,96.0,0.05,2.0,0.1,0.08,0.2
11.695847554769983,33508.754266430995,427.36803886551706,False,122,48.0,0.1,4.0,0.06,0.06,0.3
